Nome_rivista,Città,Regione,Primo_anno,Ultimo_anno,Url,Copertina,Latitudine,Longitudine
Pègaso,Firenze,Toscana,1929,1933,https://r.unitn.it/node/632,http://r.unitn.it/filesresearch/images/download/pegaso.pdf,43.7697955,11.2556404
Pietre,Genova,Liguria,1926,1928,https://r.unitn.it/node/633,http://r.unitn.it/filesresearch/images/download/pietre.pdf,44.40726,8.9338624
Poesia 1905-1909,Milano,Lombardia,1905,1909,https://r.unitn.it/node/634,http://r.unitn.it/filesresearch/images/download/poesia2.pdf,45.4641943,9.1896346
Poesia 1945-1948,Roma,Lazio,1945,1948,https://r.unitn.it/node/635,,41.8933203,12.4829321
Il Politecnico,Torino,Piemonte,1945,1947,https://r.unitn.it/node/636,http://r.unitn.it/filesresearch/images/download/politecnico.pdf,45.0677551,7.6824892
Prato pagano,Roma,Lazio,1979/1980,1987,https://r.unitn.it/node/637,,41.8933203,12.4829321
Primato,Roma,Lazio,1940,1943,https://r.unitn.it/node/638,,41.8933203,12.4829321
Primo Tempo,Torino,Piemonte,1922,1923,https://r.unitn.it/node/639,http://r.unitn.it/filesresearch/images/download/primo-tempo.pdf,45.0677551,7.6824892
Prosa,Roma,Lazio,1945,1946,https://r.unitn.it/node/640,,41.8933203,12.4829321
Prospettive,Firenze,Toscana,1939,1951-1952,https://r.unitn.it/node/641,http://r.unitn.it/filesresearch/images/download/prospettive.pdf,43.7697955,11.2556404
Psiche ed Aurora,,,1907,1914,https://r.unitn.it/node/642,,46.3144754,11.0480288
Quartiere (prima serie),Firenze,Toscana,1958,1960,https://r.unitn.it/node/644,http://r.unitn.it/filesresearch/images/download/quartiere.pdf,43.7697955,11.2556404
Quartiere latino,Firenze,Toscana,1913,1914,https://r.unitn.it/node/643,http://r.unitn.it/filesresearch/images/download/quartiere-latino.pdf,43.7697955,11.2556404
Questo e Altro,Milano,Lombardia,1962,1964,https://r.unitn.it/node/645,http://r.unitn.it/filesresearch/images/download/questoealtro.pdf,45.4641943,9.1896346
Le ragioni narrative,Napoli,Campania,1960,1961,https://r.unitn.it/node/646,,40.8358846,14.2487679
La Riforma letteraria,Firenze,Toscana,1936,1939,https://r.unitn.it/node/647,,43.7697955,11.2556404
Il Rinascimento,Milano,Lombardia,1905,1906,https://r.unitn.it/node/648,http://r.unitn.it/filesresearch/images/download/rinascimento.pdf,45.4641943,9.1896346
La Rinascita,Firenze,Toscana,1938,1944,https://r.unitn.it/node/649,,43.7697955,11.2556404
Il Rinnovamento,Milano,Lombardia,1907,1909,https://r.unitn.it/node/650,,45.4641943,9.1896346
Risorgimento,Roma,Lazio,1945,1945,https://r.unitn.it/node/651,http://r.unitn.it/filesresearch/images/download/risorgimento.pdf,41.8933203,12.4829321
La Ronda,Roma,Lazio,1919,1922,https://r.unitn.it/node/652,http://r.unitn.it/filesresearch/images/download/ronda.pdf,41.8933203,12.4829321
La ruota dentata,,,1927,1927,https://r.unitn.it/node/654,,46.3144754,11.0480288
Die Sammlung,,,1933,1935,https://r.unitn.it/node/653,http://r.unitn.it/filesresearch/images/download/sammlung.pdf,46.3144754,11.0480288
Sant'Elia,Roma,Lazio,: 1933,: 1934,https://r.unitn.it/node/715,,41.8933203,12.4829321
Scarto minimo,Padova,Veneto,1986,1989,https://r.unitn.it/node/2801/,,45.391408,11.805848677115883
Il Selvaggio,Colle Val d'Elsa,Toscana,1924,1943,https://r.unitn.it/node/655,http://r.unitn.it/filesresearch/images/download/selvaggio.pdf,43.4226455,11.126394
La Settimana,Roma,Lazio,1944,1946,https://r.unitn.it/node/656,,41.8933203,12.4829321
Solaria,Firenze,Toscana,1926,1934,https://r.unitn.it/node/657,http://r.unitn.it/filesresearch/images/download/solaria.pdf,43.7697955,11.2556404
Lo Spettatore italiano,Roma,Lazio,1924,1924,https://r.unitn.it/node/658,,41.8933203,12.4829321
Sud,Napoli,Campania,1945,1947,https://r.unitn.it/node/659,http://r.unitn.it/filesresearch/images/download/sud.pdf,40.8358846,14.2487679
Sud (nuova serie),,,2003,,https://r.unitn.it/node/660,,46.3144754,11.0480288
Das Tage-Buch,,,1920,1933,https://r.unitn.it/node/661,http://r.unitn.it/filesresearch/images/download/tage-buch.pdf,46.3144754,11.0480288
Tam Tam,Torino,Piemonte,:1972,1991,https://r.unitn.it/node/3048,,45.0677551,7.6824892
La Torre,Firenze,Toscana,1913,1914,https://r.unitn.it/node/662,,43.7697955,11.2556404
La tradotta,Verona,Veneto,1918,1919,https://r.unitn.it/node/663,,45.442497700000004,10.985737689444763
Vela latina,Napoli,Campania,1915,1916,https://r.unitn.it/node/664,http://r.unitn.it/filesresearch/images/download/vela-latina.pdf,40.8358846,14.2487679
Il verri (prima serie),Bologna,Emilia-Romagna,1956,1961,https://r.unitn.it/node/665,http://r.unitn.it/filesresearch/images/download/verri_0.pdf,44.4938203,11.3426327
La Voce,Firenze,Toscana,1908,1916,https://r.unitn.it/node/666,,43.7697955,11.2556404
La Vraie Italie,Firenze,Toscana,1919,1920,https://r.unitn.it/node/667,http://r.unitn.it/filesresearch/images/download/vraie-italie.pdf,43.7697955,11.2556404
